species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_7	species_8	species_9
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
